"Part	Manufacturer	MFR Partnumber	Supplier	Part Number	Qty Required	Cost each	Sum"
"							"
"Microcontroller	Microchip	ATTINY85-20PU	Farnell	1455162	1	£1.57	£1.57"
"2*AAA PCB Mount battery holder	Multicomp Pro	MP000342	Farnell	3126579	1	£0.96	£0.96"
"Switch	C&K components	OS102011MA1QN1	Farnell	1201431	1	£0.52	£0.52"
Push Switch
"8 pin IC Socket	Multicomp Pro	SPC15494	Farnell	2668408	1	£0.12	£0.12"
"LED - Yellow			Amazon	https://amzn.to/3Ntkbb1	3	£0.03	£0.08"
"LED - Green			Amazon	above	3	£0.03	£0.08"
"LED - Red			Amazon	above	3	£0.03	£0.08"
"LED - Blue			Amazon	above	3	£0.03	£0.08"
"390 Ohm Resistor	Multicomp Pro	MCF 0.25W 390R	Farnell	9339477	4	0.0307	£0.12"
"							"
"						sum	£3.59"
